Case Number	URL	Name	Date
17-530	../argument_transcripts/2017/17-530_2co3.pdf	Wisconsin Central Ltd. v. United States	04/16/18
16-1011	../argument_transcripts/2017/16-1011_j5fl.pdf	WesternGeco LLC v. ION Geophysical Corp.	04/16/18
17-494	../argument_transcripts/2017/17-494_9o6b.pdf	South Dakota v. Wayfair, Inc.	04/17/18
16-1215	../argument_transcripts/2017/16-1215_f2ah.pdf	Lamar, Archer & Cofrin, LLP v. Appling	04/17/18
16-1519	../argument_transcripts/2017/16-1519_09m1.pdf	Lagos v. United States	04/18/18
17-269	../argument_transcripts/2017/17-269_n6p1.pdf	Washington v. United States	04/18/18
17-130	../argument_transcripts/2017/17-130_1p23.pdf	Lucia v. SEC	04/23/18
17-459	../argument_transcripts/2017/17-459_00m5.pdf	Fonseca Pereira v. Sessions	04/23/18
17-5639	../argument_transcripts/2017/17-5639_5ifl.pdf	Chavez-Meza v. United States	04/23/18
17-586	../argument_transcripts/2017/17-586_4357.pdf	Abbott v. Perez	04/24/18
16-1220	../argument_transcripts/2017/16-1220_8nj9.pdf	Animal Science Products, Inc. v. Hebei Welcome Pharmaceutical Co.	04/24/18
17-965	../argument_transcripts/2017/17-965_l5gm.pdf	Trump v. Hawaii	04/25/18
16-1432	../argument_transcripts/2017/16-1432_c1ne.pdf	Sveen v. Melin	03/19/18
16-1140	../argument_transcripts/2017/16-1140_o759.pdf	National Institute of Family and Life Advocates v. Becerra	03/20/18
17-387	../argument_transcripts/2017/17-387_097c.pdf	Upper Skagit Tribe v. Lundgren	03/21/18
17-312	../argument_transcripts/2017/17-312_4f57.pdf	United States v. Sanchez-Gomez	03/26/18
17-432	../argument_transcripts/2017/17-432_c07d.pdf	China Agritech, Inc. v. Resh	03/26/18
17-155	../argument_transcripts/2017/17-155_g314.pdf	Hughes v. United States	03/27/18
17-5716	../argument_transcripts/2017/17-5716_6468.pdf	Koons v. United States	03/27/18
17-333	../argument_transcripts/2017/17-333_n6io.pdf	Benisek v. Lamone	03/28/18
16-1348	../argument_transcripts/2017/16-1348_886g.pdf	Currier v. Virginia	02/20/18
16-1495	../argument_transcripts/2017/16-1495_4814.pdf	City of Hays v. Vogt	02/20/18
16-9493	../argument_transcripts/2017/16-9493_82pb.pdf	Rosales-Mireles v. United States	02/21/18
17-43	../argument_transcripts/2017/17-43_q46p.pdf	Dahda v. United States	02/21/18
16-1466	../argument_transcripts/2017/16-1466_bocf.pdf	Janus v. State, County, and Municipal Employees	02/26/18
16-1454	../argument_transcripts/2017/16-1454_o7jp.pdf	Ohio v. American Express Co.	02/26/18
17-2	../argument_transcripts/2017/17-2_9pl4.pdf	United States v. Microsoft Corp.	02/27/18
17-21	../argument_transcripts/2017/17-21_ljgm.pdf	Lozman v. Riviera Beach	02/27/18
16-1435	../argument_transcripts/2017/16-1435_2co3.pdf	Minnesota Voters Alliance v. Mansky	02/28/18
141-Orig	../argument_transcripts/2017/141-orig_b8dg.pdf	Texas v. New Mexico	01/08/18
142-Orig	../argument_transcripts/2017/142-orig_p8k0.pdf	Florida v. Georgia	01/08/18
16-1371	../argument_transcripts/2017/16-1371_l6hc.pdf	Byrd v. United States	01/09/18
16-1027	../argument_transcripts/2017/16-1027_p4k8.pdf	Collins v. Virginia	01/09/18
16-980	../argument_transcripts/2017/16-980_n6p1.pdf	Husted v. A. Philip Randolph Institute	01/10/18
16-1150	../argument_transcripts/2017/16-1150_b97c.pdf	Hall v. Hall	01/16/18
16-961	../argument_transcripts/2017/16-961_768b.pdf	Dalmazzi v. United States	01/16/18
16-1362	../argument_transcripts/2017/16-1362_bb7j.pdf	Encino Motorcars, LLC v. Navarro	01/17/18
16-8255	../argument_transcripts/2017/16-8255_m2hl.pdf	McCoy v. Louisiana	01/17/18
16-712	../argument_transcripts/2017/16-712_7kh7.pdf	Oil States Energy Services, LLC v. Greene's Energy Group, LLC	11/27/17
16-969	../argument_transcripts/2017/16-969_ihdk.pdf	SAS Institute Inc. v. Matal	11/27/17
15-1439	../argument_transcripts/2017/15-1439_4g15.pdf	Cyan, Inc. v. Beaver County Employees Retirement Fund	11/28/17
16-1276	../argument_transcripts/2017/16-1276_9ok0.pdf	Digital Realty Trust, Inc. v. Somers	11/28/17
16-402	../argument_transcripts/2017/16-402_6khn.pdf	Carpenter v. United States	11/29/17
16-476	../argument_transcripts/2017/16-476_6h78.pdf	Christie v. National Collegiate Athletic Assn.	12/04/17
16-534	../argument_transcripts/2017/16-534_if5n.pdf	Rubin v. Islamic Republic of Iran	12/04/17
16-111	../argument_transcripts/2017/16-111_f29g.pdf	Masterpiece Cakeshop, Ltd. v. Colorado Civil Rights Comm'n	12/05/17
16-1067	../argument_transcripts/2017/16-1067_m6hn.pdf	Murphy v. Smith	12/06/17
16-1144	../argument_transcripts/2017/16-1144_664d.pdf	Marinello v. United States	12/06/17
16-6795	../argument_transcripts/2017/16-6795_1o13.pdf	Manuel Ayestas v. Davis	10/30/17
16-6855	../argument_transcripts/2017/16-6855_6i79.pdf	Wilson v. Sellers	10/30/17
15-1509	../argument_transcripts/2017/15-1509_n7jf.pdf	U. S. Bank Nat. Assn. v. Village at Lakeridge, LLC	10/31/17
16-460	../argument_transcripts/2017/16-460_3703.pdf	Artis v. District of Columbia	11/01/17
16-784	../argument_transcripts/2017/16-784_j5f0.pdf	Merit Management Group, LP v. FTI Consulting, Inc.	11/06/17
16-498	../argument_transcripts/2017/16-498_pfa1.pdf	Patchak v. Zinke	11/07/17
16-285	../argument_transcripts/2017/16-285_q8l1.pdf	Epic Systems Corp. v. Lewis	10/02/17
15-1498	../argument_transcripts/2017/15-1498_9p6b.pdf	Sessions v. Dimaya	10/02/17
16-1161	../argument_transcripts/2017/16-1161_mjn0.pdf	Gill v. Whitford	10/03/17
15-1204	../argument_transcripts/2017/15-1204_2c83.pdf	Jennings v. Rodriguez	10/03/17
15-1485	../argument_transcripts/2017/15-1485_gfbi.pdf	District of Columbia v. Wesby	10/04/17
16-424	../argument_transcripts/2017/16-424_8l8c.pdf	Class v. United States	10/04/17
16-658	../argument_transcripts/2017/16-658_mli2.pdf	Hamer v. Neighborhood Housing Serv. of Chicago	10/10/17
16-299	../argument_transcripts/2017/16-299_3eah.pdf	National Assn. of Mfrs. v. Department of Defense	10/11/17
16-499	../argument_transcripts/2017/16-499_n24m.pdf	Jesner v. Arab Bank, PLC.	10/11/17
